sent,tom_level
무작정 회화 학원에 나가 말하는 연습을 하기 시작한 게 벌써 3개월이나 지났다.,0
며칠 전 친구들과 배달을 시키면서 처음 먹어보는 메뉴를 골랐는데 생각보다 맛이 없었다. ,1
마스크를 안 썼으면 몸을 사리기라도 해야 하는데 꼭 그런 사람들이 지하철에서 진상 짓을 하고 본인이 진상인지도 몰라서 너무 짜증난다. ,2
"휴학하고 나는 밖에는 자주 나가지 못하지만 집에서 쉬어 좋았는데, 비대면 수업을 듣는 다른 친구들은 평소보다 더한 과제 양에 지친 듯하였다. ",3
코로나 때문에 밖에 나갈 수가 없어서 자꾸 무기력해진다. ,0
카페 알바를 하는데 오늘따라 일이 많아서 손님들 상대가 너무 힘들었다. ,1
지인들 중 방역수칙에 대해 안일하게 생각하며 인스타에 놀러간 사진을 올리는 사람들은 멍청하다는 생각이 들고 더 이상 연락하고 싶지 않습니다.,2
비대면 수업으로 인해 아이가 수업에 제대로 집중을 하지 않아 부모님도 힘이 들고 스트레스를 받으시는 것처럼 보였다.  ,3
평일에는 하루 종일 집에서 꼼짝않고 회사 일과 집안일을 처리해야 했다.  ,0
재택근무를 하며 부모님과 함께 보내는 시간이 늘었다. ,1
이 상황에도 홈파티니 뭐니 하며 방역수칙을 무시하는 사람들에 대한 얘기를 들으면 환멸이 난다. 그 사람들은 어떻게 그렇게 이기적일 수 있는지 모르겠다.  ,2
갑작스럽게 공연이 취소되어 친구가 속상해하는 듯했다. 작은 공연이지만 열심히 연습했다는데 정말 아쉬울 것 같다. ,3
올해는 벚꽃이 피고 봄 기분 내려고 하자마자 비가 내려 꽃이 전부 져버렸다. ,0
지난주 와이프와 호캉스를 가서 다른 관광지 등은 일체 가지 않고 호텔방에서 푹 쉬다 집에 왔다. ,1
지금 나라가 이 지경이 됐는데 걔는 매일 술 먹고 돌아다닌다니 진짜 미친 거 아닌가… 그 꼴을 그냥 보고 있기가 어렵다 정말 개념 없다.. ,2
"혹시 몰라 친구에게 말을 꺼내보니 좀 조심스러워하는 분위기인데, 친구 입장에선 부담될 수 있는 일이니 그냥 부탁하지 않는 게 나은 것 같다. ",3
집에서 할 수 있는 새로운 취미를 찾다가 식물을 하나 키워보기로 했다. ,0
언니와 집 앞 공원에 산책을 나갔다 길고양이를 마주쳤다. ,1
그런 진상 짓도 한심하다는 생각밖에 안 드는게 맘에 안 들면 새로 사면 그만 아닌가? 그런 데 신경쓰는 걸 보면 굉장히 자존감이 떨어지고 삶이 피폐한 사람인가 보다. ,2
직접 겪고 보니 나도 이렇게 서운한데 어머니도 말씀은 않으셨지만 내심 서운하시지 않았을까 하는 생각이 들었다. ,3
원래 영화관 가는 것을 좋아하는데 코로나가 터지고는 거의 가지 못했다. ,0
아버지 생신으로 조촐한 생일상과 함께 간만에 식구들이 한 자리에 모이게 되었다. ,1
식당에서 그렇게 기침을 세게 해놓고 주의를 받았을 때 마스크를 쓰기는커녕 자기 행동은 아랑곳하지 않고 도리어 직원에게 화를 내다니 도무지 이해할 수가 없었다. ,2
초췌한 그 애의 얼굴을 보니 얼마나 힘들었을지 그 고통이 느껴지는 듯했다. ,3
집에서 쉬는 것도 하루 이틀이지 운동도 못하고 발도 제대로 못 뻗으니 너무 답답했다. ,0
두 아이 모두 비대면 수업으로 점심 끼니를 때맞춰 챙겨줘야해서 평소에는 여유롭던 점심시간이 확 바빠졌다. ,1
요즘 청소년들은 마스크 착용도 제대로 하지 않고 코로나에 대한 아무런 경각심이 없다. ,2
아들은 일이 잘 풀리지 않아서인지 최근 들어 쉽게 피곤해하는 것 같다.,3
최근에는 주식투자를 좀 배워보고자 책도 찾아보고 유튜브도 보는 등 공부를 하고 있습니다. ,0
와이프와 함께 강아지 산책을 시키며 강가를 함께 걷는 것이 일상에 활기를 불어넣기 위한 하나의 루틴이 되었다 ,1
"코로나 검사를 받았으면 집에 얌전히 있을 것이지 자기 좋은 것만 생각하고 이곳저곳 싸돌아다녀 코로나를 전파시키고, 그걸 또 억울하다는 듯이 자기중심적으로 합리화하는 걸 보면 그저 경멸스럽기만 하다. ",2
"스터디를 잘 이끌어나가고 친목 도모도 해보고 싶어 단톡방에서 자주 얘기를 했는데 별다른 호응이 없어서 아쉽지만, 멤버들이 너무 바쁘거나 아직은 좀 서먹서먹해서 그런 거겠지 하고 스스로를 위안해봅니다.",3
코로나가 시작된지 벌써 일 년이 지났다니 이 삶의 방식에 적응한 내가 놀랍기도 하고 시간이 너무 빨리 가서 씁쓸하기도 한 하루입니다. ,0
놀이터를 지나칠 때면 마스크를 쓴 아이들을 부모님이 놀아주고 있는 모습을 흔히 볼 수 있다. ,1
"정부에서 단계를 내리면 이때구나 싶어 나가 노는 멍청한 인간들 때문에 나같은 사람이 피해를 보니, 그 이기적인 사고방식에 치가 떨릴 뿐이다. ",2
카페에서 자유롭게 있지 못하니 손님들도 불편한 점이 있겠지만 정부 방침을 잘 지켜주길 바란다 ,3
코로나 사태가 발생하고 나서 자연이 얼마나 내게 평안함과 안정감을 가져다주는지 새로이 깨닫게 되었다 ,0
중고 거래를 하다가 판매자와 싸울 뻔한 적이 있는데 결국 판매자가 물건을 환불해주기로 하여 사건이 일단락됐다. ,1
마스크를 쓰지 않거나 턱스크를 쓰는 사람들은 자기가 남들에 대해 피해를 주는지 신경쓰지 않아서 매우 경멸스럽게 느껴진다. ,2
"공원에서 마스크를 벗고 있는 사람들을 보면 얼마나 답답하면 저러나 싶고, 이해가 가지 않는 것은 아니다.",3
나는 변호사다. ,0
정부가 새로운 부동산 정책을 발표하였다. ,0
우리 회사는 재택근무를 시작하였다. ,0
나는 내 짝꿍과 종종 나들이를 간다. ,0
잘 배운 사람들도 종종 예의없는 행동을 하곤 한다. ,0
지하철에서 마스크를 벗고 이야기를 하는 사람들은 무슨 생각으로 그렇게 행동하는 건지 궁금하다. ,1
서로 먼저 가시라고 양보하는 모습이 보기 좋았다. ,1
부모님께서 방역 수칙을 잘 지키며 다니실 지 걱정이 된다. ,1
대중교통에서 사람들이 방역수칙을 잘 지키고 있는 모습을 보면 마음이 좋다. ,1
오랜만에 보는 얼굴들이 많았다. ,1
정부가 미친 것 같다. ,2
자기 자신만 생각하며 이기적으로 행동하는 사람들이 싫다.,2
도대체 무슨 생각으로 저렇게 행동하는 걸까?,2
어떻게 저렇게 개념없이 살 수 있는 걸까,2
아니 이런 시기에는 보통 다들 마스크 쓰는 거에 예민해지지 않나...,2
나에 대해 뒷담화할 것 같아 우울했다. ,3
부모님이 행복해하시는 걸 보니 뿌듯하였다. ,3
"이 시국에 클럽에 가는 사람들을 보면 무슨 생각으로 그런 곳에 가는지, 코로나에 걸릴 것이 걱정되지는 않는지 궁금하였습니다. ",3
의료진들이 고생이 많으시다.,3
놀러다니는 사람들을 무작정 욕할 수만은 없다. ,3
그날 햇빛은 마치 나를 위로해주는 것 같았다. ,0
"누군가는 싸우면서 관계가 더 돈독해진다고는 하지만, 막상 그 상황에 처하면 그렇게 생각하기가 쉽지 않다. ",0
드디어 변리사 시험을 합격하였다. ,0
